group,count,platforms,dc_names,members
AWS,1,Windows,Instance Start,AWS:CloudTrail
ApplicationLog,3,Windows,Application Log Content,"ApplicationLog:CallRecords, ApplicationLog:IIS, ApplicationLog:Intune/MDM Logs"
Autoruns,1,Windows,Windows Registry Key Access,Autoruns:RegistryScan
EDR,8,Windows,"Command Execution, File Metadata, Network Traffic Content, OS API Execution, Process Metadata, Script Execution, Windows Registry Key Access","EDR:AMSI, EDR:Telemetry, EDR:cli, EDR:detection, EDR:file, EDR:hunting, EDR:memory, EDR:scriptblock"
ETW,3,Windows,OS API Execution,"ETW, ETW:ProcThread, ETW:Token"
M365Defender,1,Windows,Network Traffic Flow,M365Defender:DeviceNetworkEvents
NSM,4,Windows,"Network Connection Creation, Network Traffic Content, Network Traffic Flow","NSM:Connections, NSM:Content, NSM:Firewall, NSM:Flow"
Network Traffic,1,Windows,Network Traffic Content,Network Traffic
WinEventLog,29,Windows,"Active Directory Credential Request, Active Directory Object Access, Active Directory Object Creation, Active Directory Object Deletion, Active Directory Object Modification, Application Log Content, Command Execution, Drive Access, Drive Creation, Drive Modification, Driver Load, File Access, File Creation, File Deletion, File Metadata, File Modification, Firewall Rule Modification, Firmware Modification, Host Status, Logon Session Creation, Logon Session Metadata, Module Load, Named Pipe Metadata, Network Connection Creation, Network Share Access, Network Traffic Content, Network Traffic Flow, OS API Execution, Process Access, Process Creation, Process Metadata, Process Modification, Process Termination, Scheduled Job Creation, Scheduled Job Metadata, Scheduled Job Modification, Script Execution, Service Creation, Service Metadata, Service Modification, User Account Authentication, User Account Creation, User Account Deletion, User Account Metadata, User Account Modification, Volume Creation, WMI Creation, Web Credential Creation, Windows Registry Key Access, Windows Registry Key Creation, Windows Registry Key Modification","WinEventLog:ADFS, WinEventLog:AppLocker, WinEventLog:Application, WinEventLog:CodeIntegrity, WinEventLog:Kerberos, WinEventLog:Microsoft-IIS-Configuration, WinEventLog:Microsoft-Office-Alerts, WinEventLog:Microsoft-Windows-Backup, WinEventLog:Microsoft-Windows-COM/Operational, WinEventLog:Microsoft-Windows-CodeIntegrity/Operational, WinEventLog:Microsoft-Windows-Kernel-Boot, WinEventLog:Microsoft-Windows-SMBClient/Security, WinEventLog:Microsoft-Windows-Security-Mitigations/KernelMode, WinEventLog:Microsoft-Windows-Shell-Core, WinEventLog:Microsoft-Windows-TCPIP, WinEventLog:Microsoft-Windows-VSS, WinEventLog:Microsoft-Windows-WLAN-AutoConfig, WinEventLog:Microsoft-Windows-Windows Camera Frame Server/Operational, WinEventLog:Microsoft-Windows-Windows Defender/Operational, WinEventLog:Microsoft-Windows-Windows Firewall With Advanced Security/Firewall, WinEventLog:PowerShell, WinEventLog:Security, WinEventLog:Sysmon, WinEventLog:System, WinEventLog:TaskScheduler, WinEventLog:WMI, WinEventLog:WinRM, WinEventLog:Windows Defender, WinEventLog:iis"
Windows,1,Windows,Host Status,Windows:perfmon
Windows Firewall Log,1,Windows,Network Traffic Flow,Windows Firewall Log
azure,2,Windows,"Instance Creation, Logon Session Creation","azure:activity, azure:signinlogs"
dns,1,Windows,"Domain Registration, Network Traffic Flow",dns:query
etw,12,Windows,"Firmware Modification, Network Traffic Content, OS API Execution, Process Metadata, Process Modification, Script Execution","etw:Microsoft-Antimalware-Scan-Interface, etw:Microsoft-Windows-Directory-Services-SAM, etw:Microsoft-Windows-DotNETRuntime, etw:Microsoft-Windows-Kernel-Base, etw:Microsoft-Windows-Kernel-File, etw:Microsoft-Windows-Kernel-Process, etw:Microsoft-Windows-Kernel-Storage, etw:Microsoft-Windows-NDIS-PacketCapture, etw:Microsoft-Windows-RPC, etw:Microsoft-Windows-Security-Auditing, etw:Microsoft-Windows-Win32k, etw:Microsoft-Windows-WinINet"
firmware,1,Windows,Firmware Modification,firmware:integrity 
m365,7,Windows,"Active Directory Object Modification, Application Log Content, Cloud Service Metadata, Cloud Storage Access, Network Traffic Flow, Script Execution","m365:defender, m365:dirsync, m365:exchange, m365:messagetrace, m365:purview, m365:sharepoint, m365:unified"
windows,1,Windows,User Account Metadata,windows:osquery
wineventlog,1,Windows,Network Traffic Flow,wineventlog:dhcp
